; Diagram data of sequence 'DspData' [C:/TEMP/]

; Time Settings:
; Start Time = 0  SRT
; End Time = 874379125  SRT
; Time Step = 10 SRT


;               READOUT_EVENTS	                   X Gradient	                   Y Gradient	                   Z Gradient	

                  1.0000000000	                  0.0000000000	                  0.0000000000	                  0.0000000000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                  0.0000000000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                  0.0000000000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                  0.0000000000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                  0.0000000000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                  0.0000000000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                  0.0000000000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                  0.0000000000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -0.2450550000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -0.2450550000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -0.2450550000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -0.2450550000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -0.2450550000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -0.2450550000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -0.2450550000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -0.2450550000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -0.2450550000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -0.2450550000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -0.7351650000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -0.7351650000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -0.7351650000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -0.7351650000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -0.7351650000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -0.7351650000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -0.7351650000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -0.7351650000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -0.7351650000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -0.7351650000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -1.2252750000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -1.2252750000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -1.2252750000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -1.2252750000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -1.2252750000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -1.2252750000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -1.2252750000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -1.2252750000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -1.2252750000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -1.2252750000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -1.7153850000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -1.7153850000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -1.7153850000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -1.7153850000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -1.7153850000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -1.7153850000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -1.7153850000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -1.7153850000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -1.7153850000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -1.7153850000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -2.2054950000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -2.2054950000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -2.2054950000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -2.2054950000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -2.2054950000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -2.2054950000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -2.2054950000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -2.2054950000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -2.2054950000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -2.2054950000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -2.6956040000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -2.6956040000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -2.6956040000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -2.6956040000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -2.6956040000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -2.6956040000	
